title,price,sku,description,sizes,colors,images,type,product_link
Diners Men'S Polo T-Shirt SKU: NA889-BLACK,"Rs.3,667.50",NA889-BLACK(5;5;D)(5;6;D),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,BLACK","S,M,L,XL,XXL,XXXL,BLACK","https://cdn.shopify.com/s/files/1/2219/4051/products/NA889-Black-Rs-4890-01_compact.jpg?v=1654261558,https://cdn.shopify.com/s/files/1/2219/4051/products/NA889-Black-Rs-4890-02_compact.jpg?v=1654261558,https://cdn.shopify.com/s/files/1/2219/4051/products/NA889-Black-Rs-4890-03_compact.jpg?v=1654261558",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na889-black
Diners Men'S Polo T-Shirt SKU: NA898-PEACH,"Rs.3,742.50",NA898-PEACH(7;4;B)(7;5;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,PEACH","S,M,L,XL,XXL,XXXL,PEACH","https://cdn.shopify.com/s/files/1/2219/4051/products/NA898-Peach-Rs-4990-01_compact.jpg?v=1655474638,https://cdn.shopify.com/s/files/1/2219/4051/products/NA898-Peach-Rs-4990-02_compact.jpg?v=1655474638,https://cdn.shopify.com/s/files/1/2219/4051/products/NA898-Peach-Rs-4990-03_compact.jpg?v=1655474638",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na898-peach
Diners Men'S Round Neck T-Shirt,"Rs.1,192.50",NA906-GREY,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","M,XXL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA906-GREY-RS-1590-01_compact.jpg?v=1663941996,https://cdn.shopify.com/s/files/1/2219/4051/products/NA906-GREY-RS-1590-02_compact.jpg?v=1663941996,https://cdn.shopify.com/s/files/1/2219/4051/products/NA906-GREY-RS-1590-03_compact.jpg?v=1663941996",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-10
Diners Men'S Round Neck T-Shirt,"Rs.1,267.50",NA916-LEMON,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M,L,XL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA916-LEMON-RS-1690-01_compact.jpg?v=1662382129,https://cdn.shopify.com/s/files/1/2219/4051/products/NA916-LEMON-RS-1690-02_compact.jpg?v=1662382129,https://cdn.shopify.com/s/files/1/2219/4051/products/NA916-LEMON-RS-1690-03_compact.jpg?v=1662382130",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-9
Diners Men'S Round Neck T-Shirt,"Rs.1,192.50",NA911-L-PINK,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M,L,XL,XXL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA911-L-PINK-RS-1590-01_compact.jpg?v=1662381418,https://cdn.shopify.com/s/files/1/2219/4051/products/NA911-L-PINK-RS-1590-02_compact.jpg?v=1662381418,https://cdn.shopify.com/s/files/1/2219/4051/products/NA911-L-PINK-RS-1590-03_compact.jpg?v=1662381417",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-7
Diners Men'S Round Neck T-Shirt,"Rs.1,267.50",NA900-ORANGE,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","M,XL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA900-ORANGE-RS-1690-01_compact.jpg?v=1662381026,https://cdn.shopify.com/s/files/1/2219/4051/products/NA900-ORANGE-RS-1690-02_compact.jpg?v=1662381026,https://cdn.shopify.com/s/files/1/2219/4051/products/NA900-ORANGE-RS-1690-03_compact.jpg?v=1662381026",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-3
Diners Men'S Polo T-Shirt SKU: NA895-PINK,"Rs.3,742.50",NA895-PINK(6;3;D)(6;4;D)(6;5;D)(6;6;D),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,PINK","S,M,L,XL,XXL,XXXL,PINK","https://cdn.shopify.com/s/files/1/2219/4051/products/NA895-Pink-Rs-4990-01_compact.jpg?v=1655473902,https://cdn.shopify.com/s/files/1/2219/4051/products/NA895-Pink-Rs-4990-02_compact.jpg?v=1655473903,https://cdn.shopify.com/s/files/1/2219/4051/products/NA895-Pink-Rs-4990-03_compact.jpg?v=1655473902",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na895-pink
Diners Men'S Polo T-Shirt,"Rs.2,167.50",NA836-MAROON(3;5;B)(3;6;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,XL,MAROON","S,M,L,XL,XXL,XXXL,MAROON","https://cdn.shopify.com/s/files/1/2219/4051/products/NA836-Maroon-Rs-2890-01_compact.jpg?v=1659014164,https://cdn.shopify.com/s/files/1/2219/4051/products/NA836-Maroon-Rs-2890-02_compact.jpg?v=1659014164,https://cdn.shopify.com/s/files/1/2219/4051/products/NA836-Maroon-Rs-2890-03_compact.jpg?v=1659014164",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-21
Diners Men'S Polo T-Shirt SKU: NA898-N-BLUE,"Rs.3,742.50",NA898-N-BLUE(7;2;B)(7;3;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,XL,XXL,XXXL,N-BLUE","S,M,L,XL,XXL,XXXL,N-BLUE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA898-N-Blue-Rs-4990-01_compact.jpg?v=1655474540,https://cdn.shopify.com/s/files/1/2219/4051/products/NA898-N-Blue-Rs-4990-02_compact.jpg?v=1655474540,https://cdn.shopify.com/s/files/1/2219/4051/products/NA898-N-Blue-Rs-4990-03_compact.jpg?v=1655474541",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na898-n-blue
Diners Men'S Polo T-Shirt,"Rs.3,742.50",NA920-GREEN,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,GREEN","S,M,L,XL,XXL,XXXL,GREEN","https://cdn.shopify.com/s/files/1/2219/4051/products/NA920-Green-Rs-4990-01_compact.jpg?v=1658325063,https://cdn.shopify.com/s/files/1/2219/4051/products/NA920-Green-Rs-4990-02_compact.jpg?v=1658325063,https://cdn.shopify.com/s/files/1/2219/4051/products/NA920-Green-Rs-4990-03_compact.jpg?v=1658325063",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-8
